Generation;Lower fitness;Higher fitness;Average fitness
189;192,0712585;1795,880249;888,3133516
190;203;1795,880249;827,3884113
191;89,06615448;1547,599976;851,6072121
192;203;1067,06604;893,102742
193;203;2231,83667;855,7384265
194;203;1453,25415;854,0771361
195;203;1067,06604;801,7101827
196;203;1067,944946;805,8119835
197;203;1227,599976;835,6011304
198;203;1611;865,8909333
199;203;2231,83667;816,5232891
200;203;1547,599976;810,7298109
201;203;1259,599976;841,6115861
202;203;1259,599976;867,8694901
203;203;1623,025757;821,4890565
204;203;1623,025757;840,485199
205;203;1115,599976;831,2556174
206;40,77177048;2231,83667;828,5675439
207;191,4712524;1115,599976;772,476326
208;203;1403,599976;801,5220875
209;203;1227,599976;851,6404195
210;203;1547;827,3281044
211;203;1115,599976;860,554307
212;203;1115,599976;857,2731214
213;203;2935,262207;911,8497547
214;203;1115;873,2345324
215;203;1227,599976;868,9247189
216;203;1227;839,2999754
217;195,8023682;1067,599976;854,1731166
218;203;1259,599976;874,4230858
219;62,06065369;1115,599976;835,7044787
220;203;1115,599976;853,7747675
221;203;1115,599976;852,8021703
222;203;2043;835,9069884
223;203;2043;810,0099449
224;51,71249771;1067,599976;828,6799199
225;203;1115,599976;866,2967863
226;203;1259,599976;872,2531942
227;203;1259;849,2615751
228;48,19736099;1227,599976;820,509188
229;203;1067,944946;848,4952162
230;203;1067,06604;835,2984572
231;203;1115,599976;843,9291603
232;203;1227,599976;846,9191143
233;203;1562,179077;803,3715966
234;201,30159;1259;792,6727994
235;203;1259;806,808186
236;203;1803;835,2337812
237;203;2949,703613;911,4290205
238;203;2949,703613;909,1628557
239;37,6508255;2231,83667;887,6441897
240;192,0712585;1195,599976;915,5380358
241;203;1227;916,0146865
242;155,97995;1067,599976;904,1584823
243;203;1227,599976;920,0976473
244;203;1259;899,2523486
245;203;1227,599976;874,9241569
246;203;1227,599976;895,5942413
247;203;1259;865,3032309
248;203;1115,599976;898,071618
249;203;1067,599976;886,8035483
250;40,13476944;1067,599976;867,2493263
251;203;1067,599976;923,6737651
252;203;1067,599976;927,9746082
253;203;1067,599976;888,0087734
254;203;1547,599976;923,7415506
255;203;1067,944946;892,2361058
256;203;1067,599976;892,7599169
257;43,12924576;1115,599976;907,9287317
258;203;1115,599976;920,0895117
259;38,21161652;1067,599976;918,6713952
260;167,2054749;1115,599976;925,3930754
261;203;1307,599976;924,4585666
262;203;1115,599976;871,6661491
263;203;1115,599976;934,9124917
264;203;1115,599976;866,3646935
265;203;1115,599976;908,010394
266;191,4712524;1115,599976;870,4399282
267;203;1115,599976;919,357507
268;203;1115,599976;940,8520596
269;203;1115,599976;939,4705378
270;203;1443,865479;948,5842994
271;203;1259;987,4307261
272;203;1115,599976;987,9438995
273;203;1115,599976;970,2770112
274;37,98419571;1115,599976;978,9214675
275;44,63370132;1307;912,0045981
276;41,01384735;1227;954,6516368
277;203;1115,599976;938,0816312
278;41,7008934;1115,599976;962,0835919
279;203;1259;936,6583582
280;203;1177,291748;937,0414656
281;203;1562,568237;947,1377417
282;203;1547,599976;934,3325053
